[31/08/19, 10:48:37 PM] Mr. Buddy: ‎Messages to this chat and calls are now secured with end-to-end encryption.
[19/09/19, 11:54:17 PM] $h@lin!: Liking in the sense not like family
[19/09/19, 11:54:22 PM] $h@lin!: Common likes
[19/09/19, 11:54:36 PM] $h@lin!: Sometimes unknowingly u like someone
[19/09/19, 11:54:45 PM] $h@lin!: And simply hate someone
[19/09/19, 11:55:17 PM] $h@lin!: I dnt want him to me either🤣🤣
[19/09/19, 11:57:33 PM] $h@lin!: See ... u like me so I feel comfortable to talk anything and nothing with u🤣
[19/09/19, 11:57:47 PM] Mr. Buddy: May be
[19/09/19, 11:58:03 PM] $h@lin!: What!!!
[19/09/19, 11:58:08 PM] $h@lin!: May be?
[19/09/19, 11:58:12 PM] $h@lin!: U Dnt like me?
[19/09/19, 11:58:21 PM] Mr. Buddy: No
[19/09/19, 11:58:23 PM] Mr. Buddy: Event
[19/09/19, 11:58:26 PM] Mr. Buddy: Enemmy
[19/09/19, 11:58:35 PM] $h@lin!: 👿
[19/09/19, 11:58:57 PM] $h@lin!: No
[19/09/19, 11:59:14 PM] $h@lin!: We are ******** frds👻
[19/09/19, 11:59:43 PM] Mr. Buddy: No enemies
[20/09/19, 12:00:41 AM] $h@lin!: It sounds bad!!
[20/09/19, 12:00:57 AM] $h@lin!: We are happy being enemies 👿👿
[20/09/19, 12:01:09 AM] Mr. Buddy: Yes
[20/09/19, 12:01:15 AM] $h@lin!: Jokes apart!!
[20/09/19, 12:01:27 AM] $h@lin!: Really u dnt like me
[20/09/19, 12:01:34 AM] Mr. Buddy: Yes
[20/09/19, 12:01:46 AM] $h@lin!: I ll kick u ... if u lie
[20/09/19, 12:01:52 AM] Mr. Buddy: Truth
[20/09/19, 12:02:14 AM] $h@lin!: I remember what u once said
[20/09/19, 12:04:29 AM] Mr. Buddy: Q
[20/09/19, 12:05:39 AM] $h@lin!: I cnt answer to this question
[20/09/19, 12:05:53 AM] $h@lin!: I don’t know I simply remember
[20/09/19, 12:06:21 AM] $h@lin!: U know the another truth
[20/09/19, 12:06:44 AM] $h@lin!: (I don’t like u either)2
[20/09/19, 12:08:49 AM] Mr. Buddy: Me too
[20/09/19, 12:09:30 AM] $h@lin!: U also dnt like urself?
[20/09/19, 12:09:38 AM] $h@lin!: That much bad u are🤮🤮
[20/09/19, 12:09:39 AM] Mr. Buddy: I do
[20/09/19, 12:10:02 AM] $h@lin!: Why u like urself
[20/09/19, 12:26:23 AM] $h@lin!: Otp please
[20/09/19, 12:26:45 AM] $h@lin!: Slept??
[20/09/19, 12:26:46 AM] Mr. Buddy: 687945
[20/09/19, 12:33:49 AM] $h@lin!: Thank you for all ur die hard help.... go to sleep and dnt forget to distrub! Good night Machu take care if u want👻
[20/09/19, 7:20:42 AM] Mr. Buddy: Good morning
[20/09/19, 7:21:53 AM] $h@lin!: Hey cross check with Loki
[20/09/19, 7:22:14 AM] $h@lin!: If he come late.. u come with dada and take my vehicle
[20/09/19, 8:09:12 AM] Mr. Buddy: No man u go with dada
[20/09/19, 8:09:25 AM] $h@lin!: I ll go with him
[20/09/19, 8:09:35 AM] $h@lin!: If Loki gets late u take my vehicle
[20/09/19, 9:00:55 AM] $h@lin!: Where are you
[20/09/19, 9:06:56 AM] $h@lin!: Helllo man!
[20/09/19, 9:37:28 AM] $h@lin!: It is 3rd floor
[20/09/19, 9:45:12 AM] $h@lin!: U have to check In also
[20/09/19, 1:20:52 PM] $h@lin!: Careful with blazer
[20/09/19, 6:41:11 PM] $h@lin!: Did anyone recorded the skit?
[20/09/19, 6:41:36 PM] $h@lin!: Congratulations man🤗
[20/09/19, 6:51:11 PM] $h@lin!: Reached?
[20/09/19, 6:52:03 PM] Mr. Buddy: No man on tge way
[20/09/19, 6:52:07 PM] Mr. Buddy: You reached???
[20/09/19, 6:52:11 PM] Mr. Buddy: Thank you
[20/09/19, 6:52:42 PM] $h@lin!: We just started
[20/09/19, 6:52:58 PM] $h@lin!: Only thank you?!
[20/09/19, 6:54:00 PM] Mr. Buddy: Then???
[20/09/19, 6:54:15 PM] $h@lin!: 🤔
[20/09/19, 6:54:19 PM] Mr. Buddy: Keep my hoodie safe
[20/09/19, 6:54:28 PM] $h@lin!: I ll wear🤣🤣🤣
[20/09/19, 6:55:00 PM] $h@lin!: Dnt worry I ll not
[20/09/19, 6:55:07 PM] $h@lin!: I just my jacket
[20/09/19, 6:55:12 PM] $h@lin!: Got*
[20/09/19, 6:55:35 PM] $h@lin!: May be ur hoodies ll become my whole dress
[20/09/19, 6:56:08 PM] $h@lin!: Shall I give it to dad
[20/09/19, 6:56:22 PM] $h@lin!: Dada*
[20/09/19, 7:03:50 PM] $h@lin!: Anyone recorded the skit???
[20/09/19, 7:04:12 PM] Mr. Buddy: No monday I'll get it
[20/09/19, 7:04:25 PM] $h@lin!: Anyone recorded at least??
[20/09/19, 7:05:01 PM] $h@lin!: For what u saying? Video or hoodies
[20/09/19, 7:05:23 PM] Mr. Buddy: Hoodie
[20/09/19, 7:05:38 PM] $h@lin!: What about video?
[20/09/19, 7:05:48 PM] $h@lin!: No one recorded?
[20/09/19, 7:08:14 PM] $h@lin!: May be Shubam have taken!
[20/09/19, 7:08:31 PM] $h@lin!: Ok leave u reach safe
[20/09/19, 7:37:35 PM] $h@lin!: I hate you man
[20/09/19, 8:01:00 PM] Mr. Buddy: Y
[20/09/19, 8:02:31 PM] $h@lin!: Because I don’t like u
[20/09/19, 8:03:16 PM] $h@lin!: Dada asked ur hoodie ...I thought he can’t carry so I said ll bring on Monday
[20/09/19, 8:05:17 PM] $h@lin!: U didn’t watch my dance😪
[20/09/19, 8:05:28 PM] $h@lin!: We didn’t take selfie
[20/09/19, 8:06:38 PM] $h@lin!: Now u ll be in the next level👀.. I ll not be ur frd anymore 😏
[20/09/19, 8:07:14 PM] $h@lin!: Cheater
‎[20/09/19, 8:09:58 PM] $h@lin!: ‎image omitted
‎[20/09/19, 8:10:10 PM] $h@lin!: ‎image omitted
[20/09/19, 8:11:09 PM] $h@lin!: I couldn’t smile.. it is looking very backwas🤢🤧 it’s all because of u
[20/09/19, 8:13:59 PM] $h@lin!: Hosting was good man! Ok take rest and enjoy the moment... I had told u rgt...⭐️ of TB but how could they give it for this dumbest person 🧐
[20/09/19, 8:23:28 PM] Mr. Buddy: What level
[20/09/19, 8:30:23 PM] $h@lin!: Most wanted🤣
[20/09/19, 8:30:53 PM] $h@lin!: I know u are not like that.. just trying to pull ur legs
[20/09/19, 8:31:10 PM] $h@lin!: I’m so happy 🤗
[20/09/19, 8:32:14 PM] $h@lin!: I know u only get it🤣.. so Tuesday kfc fixed👻
‎[20/09/19, 8:34:56 PM] $h@lin!: ‎image omitted
‎[20/09/19, 8:36:28 PM] $h@lin!: ‎Untitled ‎document omitted
‎[20/09/19, 8:37:24 PM] $h@lin!: ‎Untitled ‎document omitted
‎[20/09/19, 8:37:24 PM] $h@lin!: ‎Untitled ‎document omitted
‎[20/09/19, 8:38:11 PM] $h@lin!: ‎Untitled ‎document omitted
‎[20/09/19, 8:38:11 PM] $h@lin!: ‎Untitled ‎document omitted
‎[20/09/19, 8:38:11 PM] $h@lin!: ‎Untitled ‎document omitted
‎[20/09/19, 8:38:11 PM] $h@lin!: ‎Untitled ‎document omitted
[20/09/19, 8:38:22 PM] $h@lin!: How it is visible for u in android?
‎[20/09/19, 8:44:02 PM] $h@lin!: ‎image omitted
‎[20/09/19, 8:44:03 PM] $h@lin!: ‎image omitted
‎[20/09/19, 8:44:03 PM] $h@lin!: ‎image omitted
‎[20/09/19, 8:44:04 PM] $h@lin!: ‎image omitted
‎[20/09/19, 8:44:04 PM] $h@lin!: ‎image omitted
‎[20/09/19, 8:44:05 PM] $h@lin!: ‎image omitted
[20/09/19, 8:47:12 PM] $h@lin!: 👫😍👊
[20/09/19, 9:12:04 PM] Mr. Buddy: Had dinner??
[20/09/19, 9:17:58 PM] $h@lin!: No
[20/09/19, 9:18:02 PM] $h@lin!: U had?
[20/09/19, 9:18:19 PM] $h@lin!: Couldn’t have anything in the afternoon because of that water😭
[20/09/19, 9:52:00 PM] $h@lin!: U got ur shades??
[20/09/19, 9:52:06 PM] $h@lin!: I have the box
‎[20/09/19, 10:04:32 PM] $h@lin!: ‎image omitted
[20/09/19, 10:10:10 PM] $h@lin!: Can I post this one?
[20/09/19, 10:29:59 PM] $h@lin!: U remember we had a bet now I won... half of cash price is mine😝
[20/09/19, 11:36:45 PM] $h@lin!: I know u have not even downloaded the pics.. ignore the spam.. Good night take care Machu 👊 hate you
[21/09/19, 8:28:04 AM] Mr. Buddy: Good morning
[21/09/19, 11:55:17 AM] $h@lin!: Good morning
[21/09/19, 11:55:26 AM] $h@lin!: Going home?
[21/09/19, 12:12:25 PM] $h@lin!: https://photos.app.goo.gl/eRpAksxCrrT3RpcJA
[21/09/19, 12:13:34 PM] $h@lin!: I don’t want to spam with pics! If u want I ll send
‎[21/09/19, 12:15:48 PM] $h@lin!: ‎image omitted
‎[21/09/19, 12:15:48 PM] $h@lin!: ‎image omitted
‎[21/09/19, 12:15:48 PM] $h@lin!: ‎image omitted
‎[21/09/19, 12:15:48 PM] $h@lin!: ‎image omitted
‎[21/09/19, 12:15:48 PM] $h@lin!: ‎image omitted
[21/09/19, 12:20:57 PM] $h@lin!: Check in group pic🤣
[21/09/19, 12:21:06 PM] $h@lin!: Who is standing behind me
[21/09/19, 12:21:21 PM] $h@lin!: I’m seeing now
[21/09/19, 12:21:22 PM] Mr. Buddy: Your crush
[21/09/19, 12:21:41 PM] $h@lin!: 🙄
[21/09/19, 12:22:03 PM] $h@lin!: I didn’t know that he is standing there
[21/09/19, 12:22:08 PM] $h@lin!: He is not my crush
[21/09/19, 12:23:01 PM] $h@lin!: U didn’t recognise the dumb person sitting infront of me
‎[21/09/19, 12:23:24 PM] $h@lin!: ‎image omitted
[21/09/19, 12:27:04 PM] $h@lin!: I want one permission
[21/09/19, 12:27:47 PM] Mr. Buddy: ??!
[21/09/19, 12:28:10 PM] $h@lin!: Can I use this pic?
[21/09/19, 12:28:18 PM] Mr. Buddy: As???
[21/09/19, 12:28:32 PM] $h@lin!: I ll not say
[21/09/19, 12:28:36 PM] Mr. Buddy: No
[21/09/19, 12:28:49 PM] $h@lin!: And this is very funny 🤣🤣🤣🤣🤣
[21/09/19, 12:29:09 PM] Mr. Buddy: Hmm
‎[21/09/19, 12:29:10 PM] $h@lin!: ‎GIF omitted
[21/09/19, 12:29:37 PM] $h@lin!: Say yes
[21/09/19, 12:30:22 PM] $h@lin!: If I look at the pic only I feel like laughing.. u justgiving hmmm expression 🙄
[21/09/19, 12:31:00 PM] $h@lin!: Kinda ur dialogue 🤣
[21/09/19, 12:32:22 PM] $h@lin!: What they have given is not hoodies!! It’s just normal sweatshirt
[21/09/19, 12:38:29 PM] $h@lin!: Ok I ll say🙄 maybe insta?!
[21/09/19, 12:38:38 PM] Mr. Buddy: No
[21/09/19, 12:38:48 PM] $h@lin!: Why
[21/09/19, 12:39:05 PM] Mr. Buddy: Because I'm also there
[21/09/19, 12:39:26 PM] $h@lin!: U are my friend know
[21/09/19, 12:40:04 PM] $h@lin!: I loved that pic so
[21/09/19, 12:40:17 PM] Mr. Buddy: No
[21/09/19, 12:40:52 PM] $h@lin!: I wanted to ask something yesterday only
[21/09/19, 12:40:58 PM] $h@lin!: Was I looking odd??!
[21/09/19, 12:41:06 PM] Mr. Buddy: No
[21/09/19, 12:41:17 PM] $h@lin!: I mean something odd!
[21/09/19, 12:42:01 PM] $h@lin!: Because some ppl looking at me like that
[21/09/19, 12:44:31 PM] $h@lin!: It something up!! Ok leave that u Dnt understand ... ok I ll not put ur pic anywhere 🥺
[21/09/19, 1:21:23 PM] $h@lin!: U got ur shades?
[21/09/19, 1:21:36 PM] Mr. Buddy: Yes
[21/09/19, 1:22:02 PM] $h@lin!: Good
[21/09/19, 1:22:16 PM] Mr. Buddy: ???
[21/09/19, 1:22:18 PM] $h@lin!: What u doing
[21/09/19, 1:22:27 PM] Mr. Buddy: Sleeping
[21/09/19, 1:22:34 PM] $h@lin!: It was on the table so
[21/09/19, 1:22:47 PM] $h@lin!: And moving from one person to another 🤣
[21/09/19, 1:22:57 PM] $h@lin!: Food?
[21/09/19, 1:24:17 PM] $h@lin!: In the group.. as a whole urs and mine colours are looking so bright 😬 👫 see emoji as red and blue🤣
[21/09/19, 1:24:42 PM] Mr. Buddy: 😂😂😂😂
[21/09/19, 1:25:39 PM] $h@lin!: Unexpectedly we are matching 🤣 though it looks very 😂
[21/09/19, 1:26:09 PM] $h@lin!: Did u come out of the surprise? Or still in the hangover
[21/09/19, 1:38:30 PM] Mr. Buddy: No
[21/09/19, 1:41:15 PM] $h@lin!: No for what!
[21/09/19, 1:41:26 PM] Mr. Buddy: Not in any hangover
[21/09/19, 1:41:38 PM] $h@lin!: Then treat treat
[21/09/19, 1:42:17 PM] $h@lin!: Now u can buy iwatch for me😝
[21/09/19, 1:42:35 PM] Mr. Buddy: 😲😲😲😲
[21/09/19, 1:42:44 PM] $h@lin!: And the bet
[21/09/19, 1:43:02 PM] Mr. Buddy: What bet
[21/09/19, 1:43:08 PM] $h@lin!: Remember
[21/09/19, 1:43:37 PM] $h@lin!: When u said this time they ll not give since u got last time
[21/09/19, 1:43:46 PM] $h@lin!: I said u ll get and we had a bet
[21/09/19, 1:44:01 PM] Mr. Buddy: 🤨🤨🤨🤔
‎[21/09/19, 1:44:04 PM] $h@lin!: ‎GIF omitted
[21/09/19, 1:44:46 PM] $h@lin!: Go flashback
[21/09/19, 1:46:17 PM] $h@lin!: Now order food for me😋
[21/09/19, 1:46:42 PM] Mr. Buddy: I still didn't get it
[21/09/19, 1:46:51 PM] $h@lin!: I don’t know
[21/09/19, 1:47:03 PM] $h@lin!: I want food now
[21/09/19, 1:47:08 PM] Mr. Buddy: U said about laptop?!
[21/09/19, 1:47:19 PM] $h@lin!: 🥺
[21/09/19, 1:47:27 PM] $h@lin!: Why u remembering that
[21/09/19, 1:47:41 PM] $h@lin!: Wait...What about laptop
[21/09/19, 1:47:44 PM] Mr. Buddy: U said??!
[21/09/19, 1:47:59 PM] $h@lin!: No😪
[21/09/19, 1:48:11 PM] Mr. Buddy: Hmm
[21/09/19, 1:48:13 PM] $h@lin!: U ll help me fix it
[21/09/19, 1:48:18 PM] $h@lin!: I ll tell Monday
[21/09/19, 1:48:31 PM] Mr. Buddy: Fix how?!
[21/09/19, 1:48:36 PM] $h@lin!: I don’t know
[21/09/19, 1:48:42 PM] $h@lin!: Dnt change the topic
[21/09/19, 1:48:52 PM] Mr. Buddy: That cannot be fixed an all man...
[21/09/19, 1:49:08 PM] $h@lin!: In repair shop?
[21/09/19, 1:49:22 PM] Mr. Buddy: How will they do that an all
[21/09/19, 1:49:42 PM] $h@lin!: Just guessing
[21/09/19, 1:50:33 PM] $h@lin!: It is dented know🧐 with hammer they can fix?
[21/09/19, 1:50:46 PM] Mr. Buddy: I don't know
[21/09/19, 1:53:04 PM] $h@lin!: Have to find a way to fix it
[21/09/19, 1:53:14 PM] $h@lin!: I ll show u on Monday
[21/09/19, 1:53:27 PM] Mr. Buddy: If it is just a dent, why to fix
[21/09/19, 1:53:48 PM] $h@lin!: It is my baby know🥺
[21/09/19, 1:54:03 PM] Mr. Buddy: U Brooke your bby 😂
[21/09/19, 1:54:05 PM] $h@lin!: And moreover I have to return it like how I got from them
[21/09/19, 1:54:21 PM] Mr. Buddy: Hmm
[21/09/19, 1:54:37 PM] $h@lin!: 😪😪😪I didn’t but I shouldn’t have let my baby alone
[21/09/19, 1:56:53 PM] $h@lin!: Now that laptop is in my name😭
[21/09/19, 1:57:00 PM] $h@lin!: Ur laptop was not closed
[21/09/19, 1:57:13 PM] $h@lin!: Keep it safe
[21/09/19, 1:57:25 PM] Mr. Buddy: Hmmmm yes...
[21/09/19, 1:57:39 PM] Mr. Buddy: For a bent an all they will not say anything
[21/09/19, 1:57:41 PM] $h@lin!: I closed it but take care of ur baby
[21/09/19, 1:57:54 PM] Mr. Buddy: That's not baby an all
[21/09/19, 1:57:54 PM] $h@lin!: Bad impression 😭
[21/09/19, 1:58:11 PM] $h@lin!: Then which is ur baby
[21/09/19, 1:58:29 PM] Mr. Buddy: See my old laptop when I got it it was already broken and dent...so I think this has happened alrdy
[21/09/19, 1:58:31 PM] $h@lin!: Kinda baby only which u have to take care of😝
[21/09/19, 1:59:01 PM] $h@lin!: Really 🧐 then
[21/09/19, 1:59:28 PM] $h@lin!: How was yesterday
[21/09/19, 1:59:56 PM] Mr. Buddy: No no not this one
[21/09/19, 2:00:10 PM] Mr. Buddy: The laptop which I got when I joined this company
[21/09/19, 2:00:10 PM] $h@lin!: It was full of activities and we didn’t get time for each other
[21/09/19, 2:00:50 PM] $h@lin!: Ha understood... this one is Shruthi’s rgt
[21/09/19, 2:02:12 PM] Mr. Buddy: Yes
[21/09/19, 2:02:17 PM] Mr. Buddy: She gave it to me
[21/09/19, 2:02:37 PM] $h@lin!: Order food
[21/09/19, 2:02:41 PM] $h@lin!: I’m hungry
[21/09/19, 2:03:04 PM] Mr. Buddy: I'll Oder fo myself
[21/09/19, 2:03:11 PM] Mr. Buddy: Not fit you
[21/09/19, 2:03:21 PM] $h@lin!: 🥺
[21/09/19, 2:03:36 PM] $h@lin!: I hate you
[21/09/19, 2:03:52 PM] $h@lin!: Such a conjus
[21/09/19, 2:04:09 PM] Mr. Buddy: Yes
[21/09/19, 2:04:22 PM] $h@lin!: For me also!?
[21/09/19, 2:04:23 PM] Mr. Buddy: Ohw then you Oder for me
[21/09/19, 2:04:34 PM] $h@lin!: Ha what u want
[21/09/19, 2:04:50 PM] Mr. Buddy: I want 12 KFC chicken bucket
[21/09/19, 2:04:56 PM] Mr. Buddy: Bucketd
[21/09/19, 2:05:05 PM] $h@lin!: Kfc not available to my location to order
‎[21/09/19, 2:05:47 PM] $h@lin!: ‎image omitted
[21/09/19, 2:07:45 PM] Mr. Buddy: I asked to odee for me
[21/09/19, 2:08:05 PM] $h@lin!: I should get restaurant to order know
[21/09/19, 2:08:25 PM] $h@lin!: Ok come to kfc I ll buy one bucket
[21/09/19, 2:14:04 PM] Mr. Buddy: No
[21/09/19, 2:14:23 PM] $h@lin!: Then order for me
[21/09/19, 2:19:33 PM] Mr. Buddy: I will not
[21/09/19, 2:19:55 PM] $h@lin!: 🥺
[21/09/19, 2:20:01 PM] $h@lin!: I hate you
[21/09/19, 2:20:15 PM] $h@lin!: Send ur location I ll only order
[21/09/19, 2:20:21 PM] $h@lin!: U had food or not?
[21/09/19, 2:20:50 PM] Mr. Buddy: No I'll go and have
[21/09/19, 2:22:00 PM] $h@lin!: Then order for me🤣
[21/09/19, 2:22:10 PM] Mr. Buddy: Nope
[21/09/19, 2:22:12 PM] $h@lin!: Or I ll also where u go
[21/09/19, 2:22:39 PM] Mr. Buddy: How will you know where I go
[21/09/19, 2:22:52 PM] $h@lin!: U ll tell know
[21/09/19, 2:23:00 PM] Mr. Buddy: No
[21/09/19, 2:23:20 PM] $h@lin!: For ur frd?
[21/09/19, 2:23:30 PM] $h@lin!: U dnt give party to ur frd??
[21/09/19, 2:23:36 PM] Mr. Buddy: U enemy
[21/09/19, 2:23:45 PM] $h@lin!: 👿
[21/09/19, 2:24:00 PM] $h@lin!: First u should give treat to ur enemy only
[21/09/19, 2:24:10 PM] Mr. Buddy: Party when money comes
[21/09/19, 2:24:34 PM] $h@lin!: I ll give money u give party
[21/09/19, 2:24:44 PM] Mr. Buddy: No need
[21/09/19, 2:25:32 PM] $h@lin!: Excuse me
[21/09/19, 2:25:47 PM] $h@lin!: U have to send it back when u get
[21/09/19, 2:25:50 PM] $h@lin!: 🤣🤣🤣
[21/09/19, 2:25:53 PM] Mr. Buddy: No
[21/09/19, 2:26:08 PM] $h@lin!: It’s fine for my enemy I llspend money
[21/09/19, 2:26:13 PM] $h@lin!: But I’m hungry now
[21/09/19, 2:26:40 PM] Mr. Buddy: Oder karo eat karo
[21/09/19, 2:28:05 PM] $h@lin!: Tu order Karl
[21/09/19, 2:28:09 PM] $h@lin!: Karo *
[21/09/19, 2:28:41 PM] Mr. Buddy: Muchae nahi, AAP karo
[21/09/19, 2:29:02 PM] $h@lin!: 😱are u scolding me??
[21/09/19, 2:29:13 PM] Mr. Buddy: No I said not me you do
[21/09/19, 2:29:32 PM] $h@lin!: I ll eat tu order karo
[21/09/19, 2:32:31 PM] $h@lin!: I know u Dnt do
[21/09/19, 2:32:56 PM] $h@lin!: Such a conjus enemy
[21/09/19, 2:33:36 PM] $h@lin!: #Just kidding dnt take our conversation serious
[21/09/19, 2:49:54 PM] Mr. Buddy: Ok I will not take you seriously
[21/09/19, 2:50:17 PM] $h@lin!: What!!!
[21/09/19, 2:50:33 PM] $h@lin!: Did u ever taken me serious🤔
[21/09/19, 2:51:10 PM] Mr. Buddy: No
[21/09/19, 2:51:36 PM] $h@lin!: See👊 enemies
[21/09/19, 2:51:47 PM] $h@lin!: ‎You deleted this message.
[21/09/19, 2:52:11 PM] $h@lin!: ‎You deleted this message.
[21/09/19, 3:02:57 PM] $h@lin!: One thing to clear he is not crush or anything... just for fun I said.
‎[21/09/19, 3:05:48 PM] $h@lin!: ‎image omitted
[21/09/19, 11:09:43 PM] $h@lin!: PUBG ?
[21/09/19, 11:13:31 PM] Mr. Buddy: Noo
[21/09/19, 11:13:46 PM] $h@lin!: Quoted?
[21/09/19, 11:13:55 PM] $h@lin!: Quit?
[21/09/19, 11:13:57 PM] Mr. Buddy: ??!
[21/09/19, 11:14:06 PM] Mr. Buddy: No internet slow
[21/09/19, 11:14:15 PM] $h@lin!: Where are you
[21/09/19, 11:14:37 PM] Mr. Buddy: Room
[21/09/19, 11:14:49 PM] $h@lin!: Didn’t go home😱
[21/09/19, 11:14:57 PM] Mr. Buddy: No
[21/09/19, 11:15:06 PM] $h@lin!: What about ur Jio fi
[21/09/19, 11:15:12 PM] Mr. Buddy: Home
[21/09/19, 11:15:48 PM] $h@lin!: U should go home rgt
[21/09/19, 11:16:46 PM] $h@lin!: They would be happy anyway ur wish.. had food at least
[21/09/19, 11:17:04 PM] $h@lin!: Didn’t order me anything 🥺 hate you 👿
[21/09/19, 11:17:39 PM] Mr. Buddy: iPhone 11 pre-order got opened in flipkart
[21/09/19, 11:20:22 PM] $h@lin!: 😍
[21/09/19, 11:20:33 PM] $h@lin!: U are ordering for me😱
[21/09/19, 11:20:40 PM] Mr. Buddy: Lowest price 99k
[21/09/19, 11:21:00 PM] $h@lin!: I can’t believe
[21/09/19, 11:21:18 PM] $h@lin!: iPhone X only was more in lacs
[21/09/19, 11:23:00 PM] $h@lin!: Buy me then😛
[21/09/19, 11:27:55 PM] Mr. Buddy: Yes after 99 years
[21/09/19, 11:28:11 PM] $h@lin!: 🤨
[21/09/19, 11:28:19 PM] $h@lin!: For that I should be alive
[21/09/19, 11:28:31 PM] $h@lin!: Not me,,.. buy one for me
[21/09/19, 11:28:47 PM] Mr. Buddy: After 99 years
[21/09/19, 11:28:58 PM] $h@lin!: Will u be alive?
[21/09/19, 11:29:32 PM] $h@lin!: If we both are alive u should remember this and buy me
[21/09/19, 11:29:45 PM] $h@lin!: Make 99 days/months
[21/09/19, 11:30:22 PM] Mr. Buddy: 99 years
[21/09/19, 11:30:51 PM] Mr. Buddy: Ok 99k days
[21/09/19, 11:31:03 PM] $h@lin!: K is by mistake
[21/09/19, 11:31:10 PM] Mr. Buddy: No
[21/09/19, 11:31:12 PM] $h@lin!: 99days
[21/09/19, 11:31:17 PM] Mr. Buddy: Not a mistake
[21/09/19, 11:31:24 PM] Mr. Buddy: It's 99k days
[21/09/19, 11:31:49 PM] $h@lin!: 🤨
[21/09/19, 11:32:02 PM] $h@lin!: 99k hours
[21/09/19, 11:32:30 PM] $h@lin!: Make it 99k hours/minutes/seconds
[21/09/19, 11:39:28 PM] $h@lin!: One or the other day u ll buy😛
[22/09/19, 9:10:10 AM] Mr. Buddy: Good morning
[22/09/19, 12:22:49 PM] $h@lin!: Good afternoon
‎[22/09/19, 12:26:42 PM] $h@lin!: ‎video omitted
[22/09/19, 12:57:44 PM] $h@lin!: Machu skit video?!
[22/09/19, 1:41:08 PM] $h@lin!: Check ur internet to play PUBG 🥺
[22/09/19, 3:25:05 PM] Mr. Buddy: No man
[22/09/19, 3:25:08 PM] Mr. Buddy: Slow
[22/09/19, 3:26:52 PM] $h@lin!: Make it work fast
[22/09/19, 4:57:23 PM] $h@lin!: Hate you slow potato 👊
[22/09/19, 5:03:31 PM] $h@lin!: Just for 65😱


Apple iPhone 11 (Black, 64 GB)
https://dl.flipkart.com/dl/apple-iphone-11-black-64-gb/p/itm0f37c2240b217?pid=MOBFKCTSVZAXUHGR&cmpid=product.share.pp
[22/09/19, 5:04:20 PM] Mr. Buddy: Haaa
[22/09/19, 5:04:24 PM] Mr. Buddy: While announcing only they said na
[22/09/19, 5:04:28 PM] Mr. Buddy: It will start from 60
[22/09/19, 5:04:48 PM] $h@lin!: Seriously 60????
[22/09/19, 5:04:55 PM] $h@lin!: I thought 90
[22/09/19, 5:04:57 PM] Mr. Buddy: Yes
[22/09/19, 5:05:06 PM] $h@lin!: But seriously 60😭
[22/09/19, 5:05:17 PM] Mr. Buddy: But only 64 gb
[22/09/19, 5:05:24 PM] $h@lin!: That too 64 fb
[22/09/19, 5:05:35 PM] $h@lin!: Why so?
[22/09/19, 5:05:46 PM] Mr. Buddy: 64 is less
[22/09/19, 5:06:31 PM] $h@lin!: They could give 256 for 80/90
[22/09/19, 5:07:07 PM] $h@lin!: i phone pro is costly
[22/09/19, 5:07:25 PM] $h@lin!: Just for 64 it is 99
[22/09/19, 5:07:58 PM] Mr. Buddy: Ha
[22/09/19, 5:08:19 PM] $h@lin!: Buy one then
[22/09/19, 5:08:30 PM] $h@lin!: 256 is for 79
[22/09/19, 5:08:49 PM] Mr. Buddy: No I may buy k20 pro
[22/09/19, 5:09:24 PM] $h@lin!: What about guitar?
[22/09/19, 5:09:35 PM] Mr. Buddy: Some other time
[22/09/19, 5:09:52 PM] $h@lin!: Samsung?
[22/09/19, 5:09:59 PM] Mr. Buddy: No
[22/09/19, 5:10:07 PM] $h@lin!: That new one
[22/09/19, 5:10:16 PM] Mr. Buddy: K20 has sd 855
[22/09/19, 5:10:35 PM] $h@lin!: Which color u are going to buy
[22/09/19, 5:10:45 PM] Mr. Buddy: White
[22/09/19, 5:10:52 PM] $h@lin!: Red🤣
[22/09/19, 5:11:09 PM] Mr. Buddy: White
[22/09/19, 5:11:09 PM] $h@lin!: What😱
[22/09/19, 5:11:18 PM] $h@lin!: It ll become dirty
[22/09/19, 5:11:23 PM] $h@lin!: Black is cool
[22/09/19, 5:11:34 PM] Mr. Buddy: No
[22/09/19, 5:11:55 PM] $h@lin!: This one?
Redmi K20 Pro (Pearl White, 128 GB)
https://dl.flipkart.com/dl/redmi-k20-pro-pearl-white-128-gb/p/itm83312f3173890?pid=MOBFJV2BKJU7EMFW&cmpid=product.share.pp
[22/09/19, 5:12:09 PM] Mr. Buddy: Ha 8gb ram version
[22/09/19, 5:12:26 PM] $h@lin!: It is not completely white
[22/09/19, 5:12:28 PM] $h@lin!: Nice one
[22/09/19, 5:12:40 PM] $h@lin!: But problem is u are a dirty boy
[22/09/19, 5:12:43 PM] Mr. Buddy: Haaa but for gamaing it will be good
[22/09/19, 5:13:21 PM] $h@lin!: Ha but it ll turn brownish black after a month of using🤢
[22/09/19, 5:14:20 PM] $h@lin!: Buy 16gb ram
[22/09/19, 5:14:31 PM] $h@lin!: >256gb
[22/09/19, 5:14:33 PM] Mr. Buddy: No version is there
[22/09/19, 5:14:48 PM] $h@lin!: About to come??
